transaction_id,customer_id,amount,transaction_type,channel,date,segment,region,mean,std,is_risky
1,CUST_0103,238.77,Credit,ATM,2024-01-01 00:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
2,CUST_0180,269.17,Credit,POS,2024-01-01 01:00:00,Business,Regional,147.57704,65.5360396822032,False
3,CUST_0093,58.62,Credit,Online,2024-01-01 02:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
4,CUST_0015,81.85,Debit,Branch,2024-01-01 03:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
5,CUST_0107,163.56,Credit,Online,2024-01-01 04:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
6,CUST_0072,200.38,Debit,Online,2024-01-01 05:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
7,CUST_0189,149.33,Credit,Branch,2024-01-01 06:00:00,Business,Regional,147.57704,65.5360396822032,False
8,CUST_0021,51.72,Debit,POS,2024-01-01 07:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
9,CUST_0103,179.79,Credit,Branch,2024-01-01 08:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
10,CUST_0122,138.34,Credit,Online,2024-01-01 09:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
11,CUST_0075,137.63,Debit,Branch,2024-01-01 10:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
12,CUST_0088,13.32,Debit,Online,2024-01-01 11:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
13,CUST_0117,197.85,Credit,Online,2024-01-01 12:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
14,CUST_0100,158.71,Credit,Branch,2024-01-01 13:00:00,Retail,Metro,153.07709333333335,62.14598891214495,False
15,CUST_0104,257.71,Credit,ATM,2024-01-01 14:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
16,CUST_0152,145.53,Credit,Branch,2024-01-01 15:00:00,Business,Regional,147.57704,65.5360396822032,False
17,CUST_0131,183.98,Credit,ATM,2024-01-01 16:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
18,CUST_0150,199.91,Debit,Online,2024-01-01 17:00:00,Retail,Regional,153.07709333333335,62.14598891214495,False
